country,longitude,lattitude,education_expenditures,purchasing_power_parity,unemployment_rate,distribution_of_family_income,literacy_rate,year
Afghanistan,65.0,33.0,3.2,69450000000.0,23.9,29.4,38.2,2018
Akrotiri,32.9666666666667,34.6166666666667,,,,,,2018
Albania,20.0,41.0,3.5,36010000000.0,13.8,29.0,97.6,2018
Algeria,3.0,28.0,4.3,630000000000.0,11.7,35.3,80.2,2018
American Samoa,-170.0,-14.3333333333333,,658000000.0,29.8,,,2018
Andorra,1.5,42.5,3.3,3327000000.0,3.7,,100.0,2018
Angola,18.5,-12.5,3.5,193600000000.0,6.6,42.7,71.1,2018
Anguilla,-63.1666666666667,18.25,2.8,175400000.0,8.0,,,2018
Antarctica,0.0,-90.0,,,,,,2018
Antigua And Barbuda,-61.8,17.05,2.5,2398000000.0,11.0,,99.0,2018
Arctic Ocean,0.0,90.0,,,,,,2018
Argentina,-64.0,-34.0,5.9,922100000000.0,8.4,41.7,98.1,2018
Armenia,45.0,40.0,2.8,28340000000.0,18.9,31.5,99.7,2018
Aruba,-69.9666666666667,12.5,6.5,4158000000.0,7.7,,97.5,2018
Ashmore And Cartier Islands,123.083333333333,-12.2333333333333,,,,,,2018
Atlantic Ocean,-25.0,0.0,,,,,,2018
Australia,133.0,-27.0,5.2,1248000000000.0,5.6,30.3,,2018
Austria,13.3333333333333,47.3333333333333,5.4,441000000000.0,5.5,30.5,,2018
Azerbaijan,47.5,40.5,3.0,172200000000.0,5.0,33.7,99.8,2018
"Bahamas, The",-76.0,24.25,,12060000000.0,10.1,,,2018
Bahrain,50.55,26.0,2.7,71170000000.0,3.6,,95.7,2018
Bangladesh,90.0,24.0,2.5,690300000000.0,4.4,32.1,72.8,2018
Barbados,-59.5333333333333,13.1666666666667,5.1,5218000000.0,10.1,,,2018
Belarus,28.0,53.0,5.0,179400000000.0,0.8,26.5,99.7,2018
Belgium,4.0,50.8333333333333,6.6,529200000000.0,7.1,25.9,,2018
Belize,-88.75,17.25,7.4,3218000000.0,9.0,,,2018
Benin,2.25,9.5,4.4,25390000000.0,1.0,36.5,38.4,2018
Bermuda,-64.75,32.3333333333333,1.5,6127000000.0,7.0,,,2018
Bhutan,90.5,27.5,7.4,7205000000.0,3.2,38.8,64.9,2018
Bolivia,-65.0,-17.0,7.3,83720000000.0,4.0,47.0,92.5,2018
Bosnia And Herzegovina,18.0,44.0,,44830000000.0,20.5,33.8,98.5,2018
Botswana,24.0,-22.0,9.6,39010000000.0,20.0,60.5,88.5,2018
Bouvet Island,3.4,-54.4333333333333,,,,,,2018
Brazil,-55.0,-10.0,5.9,3248000000000.0,12.8,49.0,92.6,2018
British Virgin Islands,-64.5,18.5,6.3,500000000.0,2.9,,,2018
Brunei,114.666666666667,4.5,4.4,33870000000.0,6.9,,96.0,2018
Bulgaria,25.0,43.0,4.1,153500000000.0,6.2,40.2,98.4,2018
Burkina Faso,-2.0,13.0,4.2,35850000000.0,77.0,39.5,36.0,2018
Burma,98.0,22.0,0.8,329800000000.0,4.0,,75.6,2018
Burundi,30.0,-3.5,5.4,8007000000.0,,42.4,85.6,2018
Cabo Verde,-24.0,16.0,5.4,3777000000.0,9.0,,86.8,2018
Cambodia,105.0,13.0,1.9,64210000000.0,0.3,37.9,77.2,2018
Cameroon,12.0,6.0,2.8,89540000000.0,4.3,46.5,75.0,2018
Canada,-95.0,60.0,5.3,1774000000000.0,6.3,32.1,,2018
Cayman Islands,-80.5,19.5,,2507000000.0,4.0,,98.9,2018
Central African Republic,21.0,7.0,1.2,3390000000.0,6.9,43.6,36.8,2018
Chad,19.0,15.0,2.9,28620000000.0,,43.3,22.3,2018
Chile,-71.0,-30.0,4.9,452100000000.0,6.7,50.5,97.5,2018
China,105.0,35.0,,23210000000000.0,3.9,46.5,96.4,2018
Christmas Island,105.666666666667,-10.5,,,,,,2018
Clipperton Island,-109.216666666667,10.2833333333333,,,,,,2018
Cocos (Keeling) Islands,96.8333333333333,-12.5,,,0.1,,,2018
Colombia,-72.0,4.0,4.5,711600000000.0,9.3,51.1,94.2,2018
Comoros,44.25,-12.1666666666667,4.3,1319000000.0,6.5,55.9,77.8,2018
"Congo, Democratic Republic Of The",25.0,0.0,2.3,68600000000.0,,42.1,77.0,2018
"Congo, Republic Of The",15.0,-1.0,6.2,29390000000.0,36.0,48.9,79.3,2018
Cook Islands,-159.766666666667,-21.2333333333333,4.7,299900000.0,13.1,,,2018
Coral Sea Islands,152.0,-18.0,,,,,,2018
Costa Rica,-84.0,10.0,7.1,83940000000.0,8.1,48.5,97.8,2018
Cote D'Ivoire,-5.0,8.0,4.8,97160000000.0,9.4,41.5,43.1,2018
Croatia,15.5,45.1666666666667,4.6,102100000000.0,12.4,30.8,99.3,2018
Cuba,-80.0,21.5,12.8,137000000000.0,2.6,,99.8,2018
Curacao,-69.0,12.1666666666667,4.9,3128000000.0,13.0,,,2018
Cyprus,33.0,35.0,6.1,31780000000.0,11.1,34.8,99.1,2018
Czechia,15.5,49.75,4.0,375900000000.0,2.9,25.0,99.0,2018
Denmark,10.0,56.0,7.6,287800000000.0,5.7,29.0,,2018
Dhekelia,33.75,34.9833333333333,,,,,,2018
Djibouti,43.0,11.5,4.5,3640000000.0,40.0,40.9,,2018
Dominica,-61.3333333333333,15.4166666666667,3.4,783000000.0,23.0,,,2018
Dominican Republic,-70.6666666666667,19.0,,173000000000.0,5.1,47.1,91.8,2018
Ecuador,-77.5,-2.0,5.0,193000000000.0,4.6,45.9,94.4,2018
Egypt,30.0,27.0,3.8,1204000000000.0,12.2,31.8,73.8,2018
El Salvador,-88.9166666666667,13.8333333333333,3.5,51170000000.0,7.0,36.0,88.0,2018
Equatorial Guinea,10.0,2.0,,31520000000.0,8.6,,95.3,2018
Eritrea,39.0,15.0,,9402000000.0,5.8,,73.8,2018
Estonia,26.0,59.0,5.5,41650000000.0,5.8,34.8,99.8,2018
Eswatini,31.5,-26.5,7.1,11600000000.0,28.0,50.4,87.5,2018
Ethiopia,38.0,8.0,4.5,200600000000.0,17.5,33.0,49.1,2018
Falkland Islands (Islas Malvinas),-59.0,-51.75,,206400000.0,1.0,36.0,,2018
Faroe Islands,-7.0,62.0,,2001000000.0,2.2,22.7,,2018
Fiji,175.0,-18.0,3.9,8629000000.0,4.5,,,2018
Finland,26.0,64.0,7.2,244900000000.0,8.5,27.2,,2018
France,2.0,46.0,5.5,2856000000000.0,9.4,29.3,,2018
French Polynesia,-140.0,-15.0,,5490000000.0,21.8,,,2018
Gabon,11.75,-1.0,2.7,36660000000.0,28.0,42.2,83.2,2018
"Gambia, The",-16.5666666666667,13.4666666666667,2.8,5556000000.0,,50.2,55.5,2018
Gaza Strip,34.3333333333333,31.4166666666667,5.7,,27.9,,96.9,2018
Georgia,43.5,42.0,3.8,39850000000.0,11.8,40.1,99.8,2018
Germany,9.0,51.0,4.9,4199000000000.0,3.8,27.0,,2018
Ghana,-2.0,8.0,6.2,134000000000.0,11.9,42.3,76.6,2018
Gibraltar,-5.35,36.1333333333333,,2044000000.0,1.0,,,2018
Greece,22.0,39.0,,299300000000.0,21.5,36.7,97.7,2018
Greenland,-40.0,72.0,,2413000000.0,9.1,33.9,100.0,2018
Grenada,-61.6666666666667,12.1166666666667,10.3,1634000000.0,24.0,,,2018
Guam,144.783333333333,13.4666666666667,,5793000000.0,4.5,,,2018
Guatemala,-90.25,15.5,2.8,138100000000.0,2.3,53.0,81.5,2018
Guernsey,-2.58333333333333,49.4666666666667,,3465000000.0,1.2,,,2018
Guinea,-10.0,11.0,2.4,27970000000.0,2.7,39.4,30.4,2018
Guinea-Bissau,-15.0,12.0,2.1,3171000000.0,,,59.9,2018
Guyana,-59.0,5.0,3.2,6301000000.0,11.1,44.6,88.5,2018
Haiti,-72.4166666666667,19.0,,19970000000.0,40.6,60.8,60.7,2018
Heard Island And Mcdonald Islands,72.5166666666667,-53.1,,,,,,2018
Holy See (Vatican City),12.45,41.9,,,,,,2018
Honduras,-86.5,15.0,5.9,46300000000.0,5.6,47.1,89.0,2018
Hong Kong,114.166666666667,22.25,3.3,455900000000.0,3.1,53.9,,2018
Hungary,20.0,47.0,4.6,289600000000.0,4.2,28.2,99.1,2018
Iceland,-18.0,65.0,7.8,18180000000.0,2.8,28.0,,2018
India,77.0,20.0,3.8,9474000000000.0,8.5,35.2,71.2,2018
Indian Ocean,80.0,-20.0,,,,,,2018
Indonesia,120.0,-5.0,3.6,3250000000000.0,5.4,36.8,95.4,2018
Iran,53.0,32.0,3.4,1640000000000.0,11.8,44.5,86.8,2018
Iraq,44.0,33.0,,649300000000.0,16.0,,79.7,2018
Ireland,-8.0,53.0,4.9,353300000000.0,6.7,31.3,,2018
Isle Of Man,-4.5,54.25,,6792000000.0,1.1,,,2018
Israel,34.75,31.5,5.7,317100000000.0,4.2,42.8,97.8,2018
