geojson_country,education_expenditures,purchasing_power_parity,literacy_rate,distribution_of_family_income,unemployment_rate
Afghanistan,3.5,43936153846,31.98461538,29.4,34.44615385
Akrotiri Sovereign Base Area,,,,,
Albania,3.315555556,27722307692,97.98461538,29.82307692,14.43076923
Algeria,4.445454545,3.86154E+11,74.27692308,35.3,11.28461538
American Samoa,,609307692.3,97,,29.8
Andorra,2.990909091,3270923077,100,,2.984615385
Angola,3.083333333,1.37547E+11,69.49230769,42.7,6.6
Anguilla,3.272727273,160053846.2,95,,8
Antarctica,,,,,
Antigua and Barbuda,2.9,1776307692,92.90769231,,11
Arctic Ocean,,,,,
Argentina,5.15,7.50423E+11,97.73076923,45.60769231,7.976923077
Armenia,2.9,21290769231,99.56153846,33.13076923,13
Aruba,5.658333333,2649538462,97.3,,7.023076923
Ashmore and Cartier Islands,,,,,
Atlantic Ocean,,,,,
Australia,4.966666667,1.01149E+12,99,30.75384615,5.338461538
Austria,5.566666667,3.66585E+11,98,27.63846154,5.015384615
Azerbaijan,2.525,1.16778E+11,99.41538462,34.56153846,3.438461538
Bahrain,2.908333333,43300769231,91.90769231,,10.7
Bangladesh,2.283333333,4.085E+11,57.2,32.72307692,4.269230769
Barbados,6.316666667,5671692308,99.68888889,,10.81538462
Belarus,5.133333333,1.43438E+11,99.63846154,27.42307692,1.061538462
Belgium,6.3175,4.37854E+11,99,27.57692308,7.807692308
Belize,6.15,2845615385,76.9,,10.99230769
Benin,4.375,17367615385,37.9,36.5,1
Bermuda,1.925,5080615385,98,,5.353846154
Bhutan,5.95,5021230769,54.77692308,38.75,3.153846154
Bolivia,6.816666667,58551538462,90.11538462,52.94615385,6.576923077
Bosnia and Herzegovina,,34583076923,97.68461538,37.36923077,37.5
Botswana,9.041666667,31292307692,84.86153846,62.23076923,14.97692308
Bouvet Island,,,,,
Brazil,5.373333333,2.53023E+12,90.36923077,52.91538462,8.423076923
British Virgin Islands,4.291666667,663107692.3,97.8,,5.453846154
Brunei,4.1,24657461538,94.38461538,,4.407692308
Bulgaria,4.133333333,1.13285E+11,98.32307692,37.93076923,8.915384615
Burkina Faso,4.15,25470000000,28.32307692,39.5,77
Burundi,6.016666667,5767076923,71.23846154,42.4,
Cambodia,2.058333333,42574615385,75.28461538,40.26923077,1.576923077
