,country,map_references,lattitude,longitude,education_expenditures,purchasing_power_parity,per_capita_purchasing_power_parity,literacy_rate,distribution_of_family_income,unemployment_rate,povery_rate,household_income_lowest_ten_percent,household_income_highest_ten_percent
0,Afghanistan,Asia,33.0,65.0,3.9,69450000000,2000,38.2,29.4,23.9,54.5,3.8,24
1,Akrotiri,Middle East,34.61666666666667,32.96666666666667,,,,,,,,,
2,Albania,Europe,41.0,20.0,4.0,36010000000,12500,97.6,29.0,13.8,14.3,4.1,19.6
3,Algeria,Africa,28.0,3.0,,630000000000,15200,80.2,35.3,11.7,23.0,2.8,26.8
4,American Samoa,Oceania,-14.333333333333334,-170.0,,658000000,11200,,,29.8,,,
5,Andorra,Europe,42.5,1.5,3.2,3327000000,49900,100.0,,3.7,,,
6,Angola,Africa,-12.5,18.5,3.5,193600000000,6800,71.1,42.7,6.6,36.6,0.6,44.7
7,Anguilla,Central America and the Caribbean,18.25,-63.166666666666664,,175400000,12200,,,8.0,23.0,,
8,Antarctica,Antarctic Region,-90.0,0.0,,,,,,,,,
9,Antigua And Barbuda,Central America and the Caribbean,17.05,-61.8,2.5,2398000000,26400,99.0,,11.0,,,
10,Arctic Ocean,Arctic Region,90.0,0.0,,,,,,,,,
11,Argentina,South America,-34.0,-64.0,5.6,922100000000,20900,99.1,41.7,8.4,25.7,1.8,31
12,Armenia,Asia,40.0,45.0,2.8,28340000000,9500,99.7,31.5,18.9,32.0,3.5,25.7
13,Aruba,Central America and the Caribbean,12.5,-69.96666666666667,6.1,4158000000.0000005,37500,97.5,,7.7,,,
14,Ashmore And Cartier Islands,Southeast Asia,-12.233333333333333,123.08333333333333,,,,,,,,,
15,Atlantic Ocean,Political Map of the World,0.0,-25.0,,,,,,,,,
16,Australia,Oceania,-27.0,133.0,5.3,1248000000000,50400,,30.3,5.6,,2.0,25.4
17,Austria,Europe,47.333333333333336,13.333333333333334,5.5,441000000000,50000,,30.5,5.5,3.0,2.8,23.5
18,Azerbaijan,Asia,40.5,47.5,2.9,172200000000,17500,99.8,33.7,5.0,4.9,3.4,27.4
19,"Bahamas, The",Central America and the Caribbean,24.25,-76.0,,12060000000,32400,,,10.1,9.3,1.0,22
20,Bahrain,Middle East,26.0,50.55,2.3,71170000000,49000,95.7,,3.6,,,
21,Bangladesh,Asia,24.0,90.0,1.5,690300000000,4200,72.9,32.1,4.4,24.3,4.0,27
22,Barbados,Central America and the Caribbean,13.166666666666666,-59.53333333333333,4.7,5218000000,18600,99.6,,10.1,,,
23,Belarus,Europe,53.0,28.0,4.8,179400000000,18900,99.7,26.5,0.8,5.7,3.8,21.9
24,Belgium,Europe,50.833333333333336,4.0,6.6,529200000000.00006,46600,,25.9,7.1,15.1,3.4,28.4
25,Belize,Central America and the Caribbean,17.25,-88.75,7.1,3218000000,8300,,,9.0,41.0,,
26,Benin,Africa,9.5,2.25,4.0,25390000000,2300,38.4,36.5,1.0,36.2,3.1,29
27,Bermuda,North America,32.333333333333336,-64.75,1.5,6127000000,99400,,,7.0,11.0,,
28,Bhutan,Asia,27.5,90.5,7.1,7205000000,9000,64.9,38.8,3.2,12.0,2.8,30.6
29,Bolivia,South America,-17.0,-65.0,7.3,83720000000,7600,92.5,47.0,4.0,38.6,0.9,36.1
30,Bosnia And Herzegovina,Europe,44.0,18.0,,44830000000,12800,98.5,33.8,20.5,16.9,2.9,25.8
31,Botswana,Africa,-22.0,24.0,9.6,39010000000,17000,88.5,60.5,20.0,19.3,,
32,Bouvet Island,Antarctic Region,-54.43333333333333,3.4,,,,,,,,,
33,Brazil,South America,-10.0,-55.0,6.2,3248000000000,15600,92.0,49.0,12.8,4.2,0.8,43.4
34,British Virgin Islands,Central America and the Caribbean,18.5,-64.5,6.3,500000000,34200,,,2.9,,,
35,Brunei,Southeast Asia,4.5,114.66666666666667,4.4,33869999999.999996,78900,96.0,,6.9,,,
36,Bulgaria,Europe,43.0,25.0,4.1,153500000000,21800,98.4,40.2,6.2,23.4,1.9,31.2
37,Burkina Faso,Africa,13.0,-2.0,4.2,35850000000,1900,36.0,39.5,77.0,40.1,2.9,32.2
38,Burma,Southeast Asia,22.0,98.0,0.8,329800000000,6300,75.6,,4.0,25.6,2.8,32.4
39,Burundi,Africa,-3.5,30.0,4.3,8007000000,700,85.6,42.4,,64.6,4.1,28
40,Cabo Verde,Africa,16.0,-24.0,5.2,3777000000,7000,86.8,,9.0,30.0,1.9,40.6
41,Cambodia,Southeast Asia,13.0,105.0,1.9,64209999999.99999,4000,80.5,37.9,0.3,16.5,2.0,28
42,Cameroon,Africa,6.0,12.0,3.1,89540000000,3700,75.0,46.5,4.3,30.0,37.5,35.4
43,Canada,North America,60.0,-95.0,5.3,1774000000000,48400,,32.1,6.3,9.4,2.6,24.8
44,Cayman Islands,Central America and the Caribbean,19.5,-80.5,,2507000000,43800,98.9,,4.0,,,
45,Central African Republic,Africa,7.0,21.0,1.2,3390000000,700,36.8,43.6,6.9,62.0,2.1,33
46,Chad,Africa,15.0,19.0,2.9,28620000000,2300,22.3,43.3,,46.7,2.6,30.8
47,Chile,South America,-30.0,-71.0,5.4,452100000000,24600,96.9,50.5,6.7,14.4,1.7,41.5
48,China,Asia,35.0,105.0,,23210000000000,16700,96.4,46.5,3.9,3.3,2.1,31.4
49,Christmas Island,Southeast Asia,-10.5,105.66666666666667,,,,,,,,,
50,Clipperton Island,Political Map of the World,10.283333333333333,-109.21666666666667,,,,,,,,,
51,Cocos (Keeling) Islands,Southeast Asia,-12.5,96.83333333333333,,,,,,0.1,,,
